key,year,num_outgoing_links,num_incoming_links
HyperTalk,1987.0,9.0,2.0
IBM BASICA,1981.0,1.0,
IBM Cassette BASIC,1981.0,1.0,
IBM Disk BASIC,1981.0,1.0,
IDL,1977.0,,3.0
IMP,1965.0,1.0,1.0
INTLAB,,,1.0
ISETL,1969.0,4.0,4.0
ISLISP,,1.0,5.0
ISWIM,1966.0,6.0,2.0
Icon,1977.0,3.0,2.0
Id,,1.0,
Idris,2007.0,,8.0
Information Processing Language,1956.0,1.0,
InterLisp,1968.0,2.0,2.0
Interactive fiction,,,1.0
Interlisp,1968.0,2.0,3.0
Interpress,,1.0,
Io,2002.0,1.0,8.0
Ioke,,,4.0
Isabelle theorem prover,,,1.0
J,1990.0,2.0,1.0
J Sharp,2002.0,1.0,3.0
JOSS,1963.0,6.0,
JOVIAL,1960.0,3.0,2.0
JS++,2011.0,,5.0
JSON,,1.0,2.0
Jakarta Server Pages,,,1.0
Java,1995.0,38.0,22.0
Java Object Oriented Querying,,,1.0
Java Persistence Query Language,,,2.0
JavaScript,1995.0,19.0,11.0
Job Control Language,,1.0,
Join calculus,,1.0,
Joins (concurrency library),,,1.0
Joule,1996.0,1.0,3.0
Joy,2001.0,3.0,3.0
Julia,2012.0,,14.0
Jupyter,,,1.0
K,1993.0,2.0,3.0
KL0,,,1.0
KL1,,,1.0
Kawa (Scheme implementation),1996.0,1.0,2.0
Kent Recursive Calculator,1981.0,2.0,1.0
Korn Shell,,,1.0
KornShell,,2.0,1.0
Kotlin,2011.0,,10.0
LFE,2008.0,,8.0
LINPACK,,1.0,
LLVM IR,,1.0,
LPC,,,2.0
LYaPAS,1964.0,,2.0
Language Integrated Query,,,3.0
Lasso,1995.0,,3.0
Le Lisp,1981.0,2.0,1.0
LeLisp,1981.0,3.0,1.0
Lean (proof assistant),2013.0,1.0,3.0
Limbo,1995.0,3.0,5.0
Lingo,,,1.0
Lisp,1958.0,57.0,1.0
Lisp Machine Lisp,1976.0,1.0,4.0
List of BASIC dialects,,,1.0
List of object-orienteds,,,3.0
LiveCode,1993.0,,1.0
LiveScript,2011.0,,4.0
Logic Programming,,1.0,
Logo,1967.0,14.0,1.0
Logtalk,1998.0,,3.0
Lua,1993.0,10.0,8.0
Lucid,1976.0,3.0,1.0
Lustre,,,1.0
MATLAB,1970.0,4.0,5.0
MBlock,,,1.0
MDL,1971.0,9.0,1.0
ML,1973.0,26.0,2.0
MSX BASIC,1983.0,1.0,1.0
MUMPS,1966.0,2.0,6.0
Machine code,,1.0,
Maclisp,1966.0,4.0,
Maker culture,,1.0,
Mary,1971.0,,1.0
Mathematica,,1.0,
Mathematical notation,,1.0,
Mercury,1995.0,,3.0
Mesa,1976.0,6.0,2.0
Microsoft BASIC,1975.0,,1.0
Microsoft Power Fx,2021.0,,5.0
Microsoft Small Basic,2008.0,,3.0
Mirah,,,3.0
Miranda,1985.0,4.0,5.0
Modula,1975.0,4.0,1.0
Modula-2,1978.0,14.0,6.0
Modula-2+,1984.0,1.0,3.0
Modula-3,1988.0,6.0,7.0
MoonScript,1993.0,9.0,6.0
Moose (Perl),,,1.0
MultiLisp,1980.0,3.0,2.0
N1QL,,,1.0
NEWP,,,3.0
NS Basic,,,2.0
Natural language programming,,2.0,
NekoVM,2005.0,1.0,
Nemerle,2003.0,,3.0
NetLogo,1999.0,,2.0
NetRexx,1996.0,,5.0
Newspeak,2006.0,,5.0
Newsqueak,,4.0,2.0
NewtonScript,1993.0,1.0,3.0
Nial,1981.0,,2.0
Nim,2008.0,,11.0
Nineteen Eighty-Four,,1.0,
Nu,2007.0,,4.0
NumPy,,,1.0
OCaml,1996.0,11.0,6.0
