0,1
JOSS,[]
JOVIAL,"['static', 'strong', 'safe', 'structural']"
JS++,"['gradual', 'static', 'dynamic']"
JSON,[]
J_(programming_language),['dynamic']
Jakarta_Persistence_Query_Language,[]
Jakarta_Server_Pages,[]
JavaScript,"['dynamic', 'weak', 'duck']"
Java_(programming_language),"['static', 'strong', 'safe', 'nominative', 'manifest']"
Joule_(programming_language),[]
Joy_(programming_language),"['strong', 'dynamic']"
Julia_(programming_language),"['dynamic', 'strong', 'nominative', 'parametric', 'optional']"
K_(programming_language),"['dynamic', 'strong']"
Kawa_(Scheme_implementation),[]
Kent_Recursive_Calculator,[]
KornShell,[]
Kotlin_(programming_language),"['inferred', 'static', 'strong']"
LFE_(programming_language),"['dynamic', 'strong']"
LINPACK,[]
LLVM,[]
LPMud,[]
LYaPAS,['dynamic']
Language_Integrated_Query,[]
Laning_and_Zierler_system,[]
Lasso_(programming_language),"['dynamic', 'nominative', 'duck']"
Le_Lisp,[]
Lean_(proof_assistant),"['static', 'strong', 'inferred']"
Lennart_Augustsson,[]
Limbo_(programming_language),['strong']
Lingo_(programming_language),[]
Lisp_(programming_language),"['dynamic', 'strong']"
Lisp_Machine_Lisp,[]
LiveCode,[]
LiveScript,"['dynamic', 'weak']"
Logo_(programming_language),['dynamic']
Logtalk,[]
Lua_(programming_language),"['dynamic', 'strong', 'duck']"
Lucid_(programming_language),[]
Lustre_(programming_language),[]
MATH-MATIC,[]
MATLAB,"['dynamic', 'weak']"
MDL_(programming_language),"['dynamic', 'strong']"
ML_(programming_language),"['inferred', 'static', 'strong']"
MSX_BASIC,[]
MUMPS,[]
Maclisp,"['dynamic', 'strong']"
Mary_(programming_language),"['static', 'strong']"
Max_(software),[]
Mercury_(programming_language),"['strong', 'static', 'polymorphic']"
Mesa_(programming_language),[]
Microsoft_BASIC,[]
Microsoft_Excel,[]
Microsoft_Power_Fx,['strong']
Microsoft_Small_Basic,"['dynamic', 'weak']"
Mirah_(programming_language),"['static', 'dynamic', 'strong', 'inferred']"
Miranda_(programming_language),"['strong', 'static']"
Modula,"['static', 'strong', 'safe']"
Modula-2,"['static', 'strong', 'safe']"
Modula-2+,"['static', 'strong', 'safe']"
Modula-3,"['strong', 'static', 'safe', 'unsafe']"
MultiLisp,"['dynamic', 'latent', 'strong']"
NEWP,"['static', 'strong']"
NekoVM,['dynamic']
Nemerle,"['inferred', 'nominal', 'static', 'strong']"
NetLogo,"['dynamic', 'strong']"
NetRexx,"['static', 'strong', 'safe', 'dynamic', 'string']"
Newspeak_(programming_language),"['dynamic', 'optional']"
Newsqueak,['strong']
NewtonScript,['dynamic']
Nial,['dynamic']
Nim_(programming_language),"['static', 'strong', 'inferred', 'structural']"
Nu_(programming_language),[]
NumPy,[]
OCaml,"['inferred', 'static', 'strong', 'structural']"
OPS,[]
Oaklisp,"['dynamic', 'strong']"
Oberon-2,"['strong', 'static', 'dynamic']"
Oberon_(programming_language),"['strong', 'static', 'dynamic']"
ObjVlisp,[]
Object-Oriented_Turing,"['static', 'manifest']"
Object_Oberon,"['strong', 'static', 'dynamic']"
Object_Pascal,"['static and dynamic', 'rtti', 'strong', 'safe']"
Object_REXX,[]
Objective-C,"['static', 'dynamic', 'weak']"
Objective-J,[]
Occam_(programming_language),[]
Opa_(programming_language),"['static', 'strong', 'inferred']"
